"id","title","numReviews"
173548,Build Your First Website in 1 Week with HTML5 and CSS3,5924
707962,Javascript Essentials,5590
314462,Quickstart AngularJS,4047
861624,ES6 Javascript: The Complete Developer's Guide,2709
65330,Web Development By Doing: HTML / CSS From Scratch,2575
80940,Build Websites from Scratch with HTML & CSS,1955
818990,Git a Web Developer Job: Mastering the Modern Workflow,1445
94432,Learn PHP Fundamentals From Scratch,1236
357726,Spring Framework 4 And Dependency Injection For Beginners,1220
756914,MongooseJS Essentials - Learn MongoDB for Node.js,1106
