"id","title","numReviews"
530092,Mastering CSS,249
661802,JavaScript Design Patterns: 20 Patterns for Expert Code,243
896858,The Complete WordPress Development & Customization Course,165
212394,Introduction to Node.js Development,48
693726,Mastering Meteor: Reactive Full Stack JavaScript,46
990532,Advance Unix : File Processing: AWK | SED | GREP | CUT | VIM,40
602218,Mastering JavaScript,39
708514,Mastering TypeScript,34
212398,Advanced Node.js Development,32
601260,Mastering AngularJS UI Development,26
