"id","title","numSubscribers"
59014,Coding for Entrepreneurs Basic,161029
173548,Build Your First Website in 1 Week with HTML5 and CSS3,120291
65330,Web Development By Doing: HTML / CSS From Scratch,72932
314462,Quickstart AngularJS,64128
80940,Build Websites from Scratch with HTML & CSS,51257
94432,Learn PHP Fundamentals From Scratch,48650
707962,Javascript Essentials,47062
949282,Learn Angular 2 from Beginner to Advanced,32696
294794,Create An HTML5 Video Player From Scratch,32260
19332,The Original Complete Web Developer Course.,31070
