"id","title","numSubscribers"
661802,JavaScript Design Patterns: 20 Patterns for Expert Code,2789
212398,Advanced Node.js Development,2565
530092,Mastering CSS,1815
212394,Introduction to Node.js Development,1779
896858,The Complete WordPress Development & Customization Course,1611
602218,Mastering JavaScript,694
990532,Advance Unix : File Processing: AWK | SED | GREP | CUT | VIM,578
693726,Mastering Meteor: Reactive Full Stack JavaScript,494
601260,Mastering AngularJS UI Development,464
708514,Mastering TypeScript,353
