"price","average_nr_of_subs"
0,17915.3459
20,4146.0695
25,1953.9714
30,4339.6047
35,2244.8235
40,2361.4286
45,1811.0870
50,3797.7521
55,2682.1667
60,3812.7600
65,3346.3846
70,5603.0000
75,9058.2564
80,8260.2727
85,1536.5000
90,4926.8333
95,3491.1273
100,5120.0448
105,986.0000
110,5331.1429
115,2552.4286
120,7467.8000
125,1611.4167
135,15064.0000
140,8187.6000
145,5419.6429
150,7070.2222
160,2273.0000
165,3047.3333
170,8978.5000
175,20256.7500
180,25714.0000
185,447.0000
190,22937.1667
195,11018.7778
200,7251.1593
